strain,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
AR6152,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR6153,R,R,R,R,R,S,R,S,R,S,S,S,I,S,S
AR6154,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6155,R,S,S,S,R,R,R,S,I,S,S,S,S,S,S
AR6156,R,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR6159,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6160,S,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR6161,R,S,S,S,S,R,R,S,R,S,S,S,I,S,S
AR6162,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR6163,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6164,R,R,R,R,R,S,R,R,R,R,S,S,S,S,S
AR6165,R,R,R,S,S,S,R,S,S,S,S,S,S,S,S
AR6166,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR6167,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S
AR6168,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR6169,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6172,R,S,S,S,S,R,R,S,R,S,S,S,I,S,S
AR6174,R,S,S,S,R,S,R,S,R,S,S,S,S,S,R
AR6175,R,R,R,I,R,S,R,R,S,S,S,S,S,S,S
AR6176,R,R,R,R,R,S,R,R,R,S,S,S,I,S,S
AR6178,R,R,R,I,S,S,R,R,R,S,S,S,S,S,S
AR6179,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6180,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR6181,R,R,R,I,S,S,R,S,R,S,S,S,I,S,S
AR6182,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6183,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6184,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6186,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6187,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6189,R,S,S,S,S,R,S,S,S,S,S,S,S,S,S
AR6190,R,S,S,S,R,S,R,R,S,S,S,S,S,S,S
AR6191,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6192,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6193,S,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR6194,R,S,S,S,R,R,R,R,S,S,S,S,I,S,S
AR6196,R,I,S,S,S,S,R,R,S,S,S,S,I,S,S
AR6197,R,R,R,I,R,S,R,S,S,S,S,S,S,S,S
AR6198,R,I,S,S,S,S,S,R,S,S,S,S,S,S,S
AR6200,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6201,R,R,R,I,S,S,R,S,R,S,S,S,I,S,S
AR6202,R,R,R,I,R,S,R,S,S,R,S,S,S,S,S
AR6203,R,I,S,S,R,S,R,S,S,S,S,S,S,S,S
AR6204,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6206,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR6207,R,I,S,S,S,S,R,R,S,S,S,S,S,S,S
AR6208,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6210,R,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR6211,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6213,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6214,R,S,S,S,S,S,R,S,R,S,S,S,I,S,S
AR6215,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6218,R,S,S,S,S,S,S,R,S,S,S,S,S,S,S
AR6219,R,S,S,S,R,S,S,S,S,S,S,S,S,S,S
AR6220,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6223,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S
AR6224,R,I,S,S,R,R,R,S,S,S,S,S,S,S,S
AR6225,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6226,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR6227,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6228,R,R,R,I,S,R,R,S,S,S,S,S,I,S,S
AR6229,R,R,R,I,R,S,R,S,R,S,S,S,I,S,S
AR6231,R,S,S,S,S,S,R,R,S,S,S,S,I,S,S
AR6234,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6237,R,S,S,S,S,S,R,S,I,S,S,S,S,S,S
AR6239,R,S,S,S,S,S,S,R,S,S,S,S,S,S,S
AR6240,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6242,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6243,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR6245,R,R,R,S,R,S,R,S,R,S,S,S,S,S,S
AR6246,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6247,R,S,S,S,S,R,R,S,S,S,S,S,I,S,S
AR6249,S,I,I,S,R,S,R,S,S,S,S,S,S,S,S
AR6250,R,R,R,I,R,S,S,S,S,S,S,S,S,S,S
AR6251,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR6252,R,S,S,S,R,R,R,S,I,S,S,S,S,S,S
AR6260,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4074,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
