strain,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
AR4097,R,R,R,R,R,R,R,R,S,S,S,S,S,S,S
AR4098,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4099,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4100,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4101,R,R,R,I,S,S,I,S,S,S,S,S,S,S,S
AR4102,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR4103,R,R,R,R,R,S,R,R,S,S,S,S,S,S,S
AR4104,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4105-S,R,R,R,R,R,S,R,R,R,S,S,S,S,S,R
AR4106,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4107,R,R,R,I,R,S,S,R,S,S,S,S,S,S,S
AR4108,R,R,R,R,R,S,S,R,S,S,S,S,S,S,R
AR4109,R,S,S,S,R,S,I,R,S,S,S,S,S,S,S
AR4110,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4111,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4112,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4113,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4114,R,R,R,R,R,S,S,S,S,S,S,S,S,S,S
AR4115,R,S,S,S,S,R,S,S,S,S,S,S,S,S,S
AR4116,S,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4117,R,R,R,I,S,R,R,S,S,S,S,S,S,S,S
AR4118,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4119,R,S,S,S,R,S,R,R,R,S,S,S,S,S,S
AR4120,R,I,R,I,S,S,S,S,S,S,S,S,S,S,S
AR4122,R,R,R,I,R,S,I,S,R,S,S,S,S,S,S
AR4124,R,R,R,I,R,S,I,S,S,R,S,S,I,S,S
AR4125,R,R,R,S,S,S,R,R,R,S,S,S,S,S,S
AR4126,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4127,R,S,S,S,S,R,I,S,S,S,S,S,I,S,S
AR4128,S,R,R,R,S,S,I,S,S,S,S,S,S,S,S
AR4129,R,R,R,R,S,S,I,S,S,S,S,S,S,S,S
AR4130,R,R,R,I,S,R,R,S,S,S,S,S,S,S,S
AR4131,R,R,R,I,R,S,R,S,R,S,S,S,S,S,S
AR4132,R,R,R,R,R,S,I,S,S,S,S,S,S,S,S
AR4133,R,R,R,R,R,R,R,S,S,S,S,S,S,S,S
AR4134,R,S,S,S,S,R,R,S,R,R,S,S,R,S,S
AR4137,R,R,R,I,S,S,I,S,S,S,S,S,S,S,S
AR4138,R,S,S,S,S,R,R,R,S,S,S,S,S,S,S
AR4139,R,I,R,S,R,S,R,S,S,S,S,S,S,S,S
AR4140,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4141,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4143,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4144,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4145,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR4146,R,S,S,S,S,S,I,R,S,S,S,S,S,S,R
AR4147,R,S,S,S,S,S,R,S,S,S,S,S,I,S,S
AR4148,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4150,R,R,R,R,R,S,R,S,S,S,S,S,S,S,S
AR4151,R,R,R,I,S,S,R,S,R,S,S,S,S,S,S
AR4152,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR4154,R,R,R,I,S,R,R,R,S,S,S,S,S,S,S
AR4155,R,R,R,I,S,R,I,S,S,S,S,S,S,S,S
AR4156,S,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR4157,R,I,R,I,R,S,R,S,S,S,S,S,S,S,S
AR4158,R,S,R,S,S,S,R,S,S,S,S,S,I,S,S
AR4159,S,R,R,R,R,S,R,R,R,S,S,S,S,S,S
AR4160,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4161,S,R,R,R,S,S,I,S,S,S,S,S,S,S,S
AR4163,R,R,R,R,R,S,R,R,R,R,S,S,S,S,S
AR4164,R,R,R,S,S,R,R,S,S,S,S,S,S,S,S
AR4165,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4167,R,R,R,R,S,S,R,S,I,S,S,S,S,S,S
AR4168,R,R,R,S,S,S,R,S,S,S,S,S,S,S,S
AR4169,S,S,R,S,S,S,I,S,S,S,S,S,S,S,S
AR4170,R,R,R,R,R,S,R,R,S,S,S,S,S,S,S
AR4171,R,R,R,S,R,R,R,S,S,S,S,S,S,S,S
AR4172,S,S,R,S,S,S,R,S,S,S,S,S,S,S,S
AR4173,R,S,R,S,S,R,R,S,S,S,S,S,S,S,S
AR4175,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4176,R,S,R,S,S,S,I,S,S,S,S,S,S,S,S
AR4177,R,R,R,R,S,S,I,S,S,S,S,S,S,S,S
AR4178,R,S,R,S,R,S,R,S,R,S,S,S,S,S,R
AR4180,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4181,R,R,R,I,S,S,S,S,S,S,S,S,S,S,S
AR4182,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4183,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4185,R,R,R,I,R,S,R,R,R,S,S,S,S,S,S
AR4186,R,S,R,I,R,R,R,R,S,R,S,S,S,S,S
AR4187,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR4188,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4189,R,R,R,R,S,S,S,R,S,R,S,S,S,S,S
AR4190,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR4191,R,S,S,S,S,S,S,S,I,S,S,S,S,S,S
AR4192,R,R,R,I,R,S,R,R,S,S,S,S,S,S,S
AR4193,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4194,S,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4195,R,R,R,R,R,S,R,S,R,S,S,S,S,S,S
AR4197,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4198,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4199,R,R,R,R,S,S,S,S,S,S,S,S,S,S,S
AR4200,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4201,R,R,S,S,S,R,R,R,S,S,S,S,S,S,S
AR4202,R,S,S,S,S,R,I,R,S,S,S,S,S,S,S
AR4204,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4205,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR4206,R,R,R,R,R,S,R,R,R,S,S,S,S,S,R
AR4207,R,R,R,R,R,R,R,R,S,R,S,S,S,S,S
AR4208,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4209,S,R,I,R,S,S,S,S,S,S,S,S,S,S,S
AR4210,R,R,R,R,S,S,S,S,S,S,S,S,S,S,S
AR4211,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4212,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4213,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
