,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
amoA,0.3223941960462613,0.4999466466753102,5.221906005080399e-08,0.1415844048593762,0.8221611426233107,0.9323368167457796,0.9944188723649435,0.0007933123418008414,0.9999999203115626,0.9902969273852565,1.0,1.0,0.6906266403022183,1.0,0.001435521352692048
ampA,0.8367896698368861,0.3715575815561567,0.002298460495628534,0.019390696412865463,0.6707394590215036,0.9463037038625004,0.9050818203085572,0.1169058196055892,0.9986190354105593,0.42155496670131676,1.0,1.0,0.5056928342523278,1.0,0.2793077003445149
ampC_1~~~ampC~~~ampC_2,0.9998618604488346,0.9997481747547335,0.26992590856018506,0.25546677266985024,6.845166836230244e-07,0.9999816579827214,0.9985116905957803,0.7449194440665461,0.6786043245713251,0.8874727587033585,1.0,1.0,0.008052569410235414,1.0,2.0415978607916734e-31
ampS,0.9550781794479084,0.9987175683601833,0.46037384318974334,0.9890144805967778,4.4557893558178076e-38,0.00028649526754698186,0.9685687630250092,0.7376075288429422,0.6113032312983124,0.9999700103245149,1.0,1.0,0.9949714526938761,1.0,0.01900919180208896
ansA~~~ansA_1~~~ansA_2,4.793952057434876e-05,2.001523346108734e-46,0.020642987711216667,0.013630809137406566,0.9838401834157078,0.9901024835325616,0.5288542518697041,0.7835086381978745,0.9987334446823498,0.14827292608021478,1.0,1.0,0.13415922071790723,1.0,3.1291898049910665e-67
apbA,0.9999985745886959,0.9731239841550207,0.19484204227144197,0.6405836957275112,0.86804016658787,1.44097579484947e-37,0.9997545252441727,0.8304266829075759,0.9576165392449589,0.06828065941426596,1.0,1.0,8.05484542747827e-08,1.0,2.2266467904477434e-06
apbE,0.9736249974597657,0.012022876608967354,4.957360009134431e-06,4.213046401105294e-07,6.7836213261147735e-18,0.9987023169806875,0.8933469770719149,0.00047986331317507357,0.960962980461629,0.006820757237116987,1.0,1.0,9.890503012984195e-08,1.0,2.2945304563701284e-46
apt,0.999996084508739,0.008374304612391257,0.21458858352064863,0.21022740850840313,0.9867911228142363,0.999830002427793,0.6983936789412559,0.08406741821264478,0.1936939573354104,0.9999860989423445,1.0,1.0,0.9790321504066651,1.0,1.735888206827599e-05
araB,0.010207571313919027,0.034157839455394065,8.775128774502561e-06,3.8560512346715546e-05,0.9425462320922225,0.9999998021009928,0.8514562133444251,0.2633533062453283,0.8972573083099361,0.9558388011401022,1.0,1.0,0.9999999985955538,1.0,2.3192000638710262e-35
araC_2~~~araC_1~~~araC,0.8623653594001177,0.26676159246016806,0.00014211852319540215,0.019089665485579613,0.9927709848883299,0.9999541596952745,0.7605190667088005,0.5944644970227205,0.9995969159640072,0.6007815228703479,1.0,1.0,7.309257360031777e-11,1.0,0.999995164854688
arcA_1~~~arcA_2,0.05423738985685365,0.04937888860033266,7.542171032798731e-07,3.32777477794942e-05,0.4692531301175238,0.9994996387865772,0.7195264229970005,0.0038473270104666156,0.9868582866478591,0.9999613252271119,1.0,1.0,0.999889868386865,1.0,1.622569031127079e-30
arcB_1~~~arcB_2~~~arcB,0.04028408779739047,0.6039352268764011,0.022082137057103574,0.05122332685973201,0.9550380318292846,0.9999855076988239,0.7390586161987897,0.004937696195064099,0.9999999472805972,0.9998544104975858,1.0,1.0,0.9998829117399498,1.0,7.111958102532141e-41
arcB_2~~~arcB_1,0.9918515270452904,0.02980179427591136,4.4071712335823894e-06,0.05412102289275427,0.9889010845198937,0.9999978474494229,0.1268970222620191,0.15711910724959488,0.999999999536953,0.9949856807981869,1.0,1.0,0.012790646078185293,1.0,3.655180583730104e-12
arcC1~~~arcC1_1,0.09169652127650176,0.34553259573888595,0.002853818077148867,1.2235750666151077e-06,0.13462699634753084,0.9999705754151378,0.31303586579219556,0.23649662897392149,0.86933951097437,0.993063265002354,1.0,1.0,0.9999597820631799,1.0,0.013083036386986616
arcD_1~~~arcD_2,0.024320911696089246,0.9660512631291377,0.09561609446038637,0.0314122193008121,1.5283579335279925e-14,0.7971993977775956,0.9968972493029271,0.5299615213608071,0.9999993210211375,0.9999258193164293,1.0,1.0,0.9999999855973077,1.0,0.8173667528277714
argB,0.2579362415902681,0.6927888259073588,0.06166117567087544,0.055403653229756544,0.9999735226301572,0.9999998749987188,0.992504493661762,0.0001758347315991124,0.9999985145120844,0.048325339568317,1.0,1.0,0.9997591488408829,1.0,0.19441894435354304
argC~~~argC_2~~~argC_1,0.5222051946523296,0.6715390458568744,0.11261099617175047,0.414929267234059,0.9999999406497283,0.9999942365716411,0.9836351272177848,0.0038729898959220382,0.999999820699648,0.9963676486022867,1.0,1.0,0.9708993008058318,1.0,0.9999999999999868
argE_1~~~argE_3~~~ylmB,0.05241783079406257,0.9116795034676751,4.180842256458742e-05,0.000278491258634276,0.9979470626574419,0.6747120723160287,0.9651480617008799,0.08625423899131128,0.9952150782270056,0.8427742230461418,1.0,1.0,0.9980016110298082,1.0,0.0007250765438662697
argE_2,0.21866487207109114,0.550061472285628,0.1952589980653502,0.055026935325785266,0.9974580377637587,0.9931470984900982,0.9357084515080172,0.09430850689409857,0.9992608235258285,0.9959502687686717,1.0,1.0,0.9978820191423684,1.0,0.9999999992796463
argE_4~~~argE_2~~~argE_3~~~argE_1,0.007347447192057062,0.008730977189157356,8.869402120542789e-05,0.00892093625287768,4.6626412006296386e-14,0.5413733637849144,0.9339358252480905,0.0005354465912241575,0.9999999988048399,0.99857750271545,1.0,1.0,0.9999999675413122,1.0,0.06798628399437291
argF_1,0.3052826090558771,0.1550303560073438,2.0874412210135173e-05,1.2941462752321935e-08,0.2438755986695524,0.999999997319824,0.9975204389809964,0.14627592633112285,0.9898306758913112,0.7107412198031096,1.0,1.0,0.9999997897395412,1.0,5.880975659265346e-10
argG,0.40210846895859614,0.9472496928058011,0.5518460268111491,0.11280757776371275,0.26064925152969876,0.9538692292604821,0.358326104616183,0.7267013105867253,0.5484178094791579,0.9934570357705056,1.0,1.0,0.9999822148989452,1.0,0.9999306522009382
argH,0.1253902625489625,0.9958713603218416,0.4877777420027023,0.869823617642774,2.0442099725130003e-09,0.9918730577440833,0.9974826077726104,0.5717224998254884,0.9999999879234392,0.9996636666889825,1.0,1.0,0.9999999999944865,1.0,0.8024268914701276
argJ~~~argJ_1~~~argJ_2,0.21515309988455017,0.7361982043719559,0.014938834712351325,0.03395439375574491,0.9999905600290401,0.9999999999670885,0.9999062201187426,0.0004746947934280048,0.9999728010808818,0.21635782389619418,1.0,1.0,0.35409423119654904,1.0,0.98022104975703
