,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
apbA,0.999998575,0.973123984,0.194842042,0.640583696,0.868040167,1.44E-37,0.999754525,0.830426683,0.957616539,0.068280659,1,1,8.05E-08,1,2.23E-06
apbE,0.973624997,0.012022877,4.96E-06,4.21E-07,6.78E-18,0.998702317,0.893346977,0.000479863,0.96096298,0.006820757,1,1,9.89E-08,1,2.29E-46
apt,0.999996085,0.008374305,0.214588584,0.210227409,0.986791123,0.999830002,0.698393679,0.084067418,0.193693957,0.999986099,1,1,0.97903215,1,1.74E-05
araB,0.010207571,0.034157839,8.78E-06,3.86E-05,0.942546232,0.999999802,0.851456213,0.263353306,0.897257308,0.955838801,1,1,0.999999999,1,2.32E-35
araC_2~~~araC_1~~~araC,0.862365359,0.266761592,0.000142119,0.019089665,0.992770985,0.99995416,0.760519067,0.594464497,0.999596916,0.600781523,1,1,7.31E-11,1,0.999995165
arcA_1~~~arcA_2,0.05423739,0.049378889,7.54E-07,3.33E-05,0.46925313,0.999499639,0.719526423,0.003847327,0.986858287,0.999961325,1,1,0.999889868,1,1.62E-30
arcB_1~~~arcB_2~~~arcB,0.040284088,0.603935227,0.022082137,0.051223327,0.955038032,0.999985508,0.739058616,0.004937696,0.999999947,0.99985441,1,1,0.999882912,1,7.11E-41
arcB_2~~~arcB_1,0.991851527,0.029801794,4.41E-06,0.054121023,0.988901085,0.999997847,0.126897022,0.157119107,1,0.994985681,1,1,0.012790646,1,3.66E-12
arcC1~~~arcC1_1,0.091696521,0.345532596,0.002853818,1.22E-06,0.134626996,0.999970575,0.313035866,0.236496629,0.869339511,0.993063265,1,1,0.999959782,1,0.013083036
arcD_1~~~arcD_2,0.024320912,0.966051263,0.095616094,0.031412219,1.53E-14,0.797199398,0.996897249,0.529961521,0.999999321,0.999925819,1,1,0.999999986,1,0.817366753
argB,0.257936242,0.692788826,0.061661176,0.055403653,0.999973523,0.999999875,0.992504494,0.000175835,0.999998515,0.04832534,1,1,0.999759149,1,0.194418944
argC~~~argC_2~~~argC_1,0.522205195,0.671539046,0.112610996,0.414929267,0.999999941,0.999994237,0.983635127,0.00387299,0.999999821,0.996367649,1,1,0.970899301,1,1
argE_1~~~argE_3~~~ylmB,0.052417831,0.911679503,4.18E-05,0.000278491,0.997947063,0.674712072,0.965148062,0.086254239,0.995215078,0.842774223,1,1,0.998001611,1,0.000725077
argE_2,0.218664872,0.550061472,0.195258998,0.055026935,0.997458038,0.993147098,0.935708452,0.094308507,0.999260824,0.995950269,1,1,0.997882019,1,0.999999999
argE_4~~~argE_2~~~argE_3~~~argE_1,0.007347447,0.008730977,8.87E-05,0.008920936,4.66E-14,0.541373364,0.933935825,0.000535447,0.999999999,0.998577503,1,1,0.999999968,1,0.067986284
argF_1,0.305282609,0.155030356,2.09E-05,1.29E-08,0.243875599,0.999999997,0.997520439,0.146275926,0.989830676,0.71074122,1,1,0.99999979,1,5.88E-10
argG,0.402108469,0.947249693,0.551846027,0.112807578,0.260649252,0.953869229,0.358326105,0.726701311,0.548417809,0.993457036,1,1,0.999982215,1,0.999930652
argH,0.125390263,0.99587136,0.487777742,0.869823618,2.04E-09,0.991873058,0.997482608,0.5717225,0.999999988,0.999663667,1,1,1,1,0.802426891
argJ~~~argJ_1~~~argJ_2,0.2151531,0.736198204,0.014938835,0.033954394,0.99999056,1,0.99990622,0.000474695,0.999972801,0.216357824,1,1,0.354094231,1,0.98022105
argR_1~~~argR_2~~~argR,0.97928043,0.118560536,5.89E-05,0.18272792,0.93357693,0.1168782,0.975171657,0.912038171,0.244913449,0.99986783,1,1,0.980128654,1,0.999999991
